doi,primary_key,Seasonal_annual,Measurement_period,start_year,end_year,chamber_yes_no,Sampling frequency,Country,Location,latitude,longitude,crop,emission_range,unit,emission_range,min,max,mean,fertilizer_induced,,EFS,rainfall_mm,Temperature,Altitude,soil_type,soil depth ,texture,sand,silt,clay,total_N ,ton_unit,SOC,SOM,TOC,toc_unit,Ammonium,nitrates,pH,C:N,Bulk_density,sampling_frequency,top soil
https://doi.org/10.1016/j.scitotenv.2017.12.081 ,Wanyama_2017,Annual flux (kg N2O-N ha−1 yr−1),Aug 2015-July 2016,2015,2016,Static chamber,2 days following each fertilization event,Kenya,Mau forest,0.6096,35.7354,Tea,0.6–2.34,kg ha−1 yr−1 ,0.6–2.34,0.6,2.34,1.47,yes,,0.2-0.9,390,21.6,,Xanthic Ferralsol,0-20 cm,"sandy,loamy",na,na,na,0.115,%,,,1,%,,,6.85,8.585,1.33,,
DOI 10.1007/s10705-014-9636-7 ,Hickman_2014,Seasonal flux (kg N2O-N ha−1 season−1),April-July 2010,2010,2010,Static chamber,"Daily, weekly then biweekly",Kenya,Maseno,0.0067,34.5985,Maize,0.16–0.81 ,kg ha−1 yr−1,0.16–0.81 ,0.16,0.81,0.49,yes,,,748,19.25,1505,Chromic luvisol,20 cm,clay,,,52,,,1.86,,1.63,%,,,6.5,,1.27,,
DOI 10.1007/s10705-014-9636-7,Hickman_2015,Annual flux (kg N2O-N ha−1 yr−1),Mar–Jul 2011;Apr 2012–Jan 2013,2011,2013,,Daily to weekly or monthly,Kenya,Yala,0.0942,34.5335,Maize,0.1–0.3 ,kg ha−1 yr−1,0.1–0.3 ,0.1,0.3,0.2,yes,,,824,18.8,1540,Haplic lixisol,20 cm,Sandy loam,,,15,,,0.86,,0.76,%,,,5.4,,1.78,,
https://doi.org/10.1016/j.sciaf.2019.e00141 ,Kimetu_2006,Short duration ,4 weeks,1999,,,3 times per month,Kenya,Kabete,-1.2183,36.70758,Maize,1.3–12.3 ,μg m−2 h−1 ,1.3–12.3 ,0.11,1.08,0.6,yes,,0.3–1.0 ,725,21,,Udic Kandiustalf and gleyic luvisol,0-100 cm,"loamy, sand",81,14,5,21.3,,,,0.27,,,,5.7,,1.36,,
doi:10.1016/j.geoderma.2008.11.015 ,Chapuis-Lardy_2019,Seasonal flux (kg N2O-N ha−1 season−1),Nov 2006–Apr 2007 ,2006,2007,,Weekly,Madagascar,Andranomanelatra,-19.7833,47.1,Soybeans and maize,0.3,kg ha−1 yr−1,0.3,0.3,0.3,0.3,yes,,,725,21,,Udic Kandiustalf and gleyic luvisol,0-100 cm,"loamy, sand",81,14,5,21.3,,,,0.27,,,,5.7,,1.36,,
https://doi.org/10.1111/j.1475-2743.2008.00163.x,Dick_2008,Annual flux (kg N2O-N ha−1 yr−1),Jan 2004–Feb 2005 ,2004,2005,,Monthly,Mali,Bamako,13.267,-6.433,Pearl millet with/without legume intercropping,0.9–1.5 ,kg ha−1 yr−1,0.9–1.5 ,0.9,1.5,1.2,No,,,1800,24,1330,"Kaolinitic, isohyperthermic kandiudalfic Eutrodox",,"Silty, clay, loam",25,55,20,0.12,,,,1.3,,,,5.9,,1.13,,
doi:10.1016/j.fcr.2009.09.010 ,Predotova_2009,Annual flux (kg N2O-N ha−1 yr−1),Apr 2006–Feb 2007 ,2006,2007,,Twice a day for 6 days,Niger,Niamey,13.5116,2.1254,Vegetables,48–92 ,kg ha−1 yr−1 ,48–92 ,48,92,70,no,,,825,20.4,,Chromic Vertisol,10 cm,"silty, clay ",,26,62,0.55,%,,2.98,,%,,,"0, DAP, 100",,,,
https://doi.org/10.1016/j.still.2024.106296,Alasinrin_ 2024,Annual flux (kg N2O-N ha−1 yr−1),July 2018-May 2019,2018,2019,,Weekly,Nigeria,Abeokuta,7.14524,3.3277,Maize,0.1-0.64 ,kg ha−1 yr−1 ,0.1-0.64 ,0.1,0.64,0.37,yes,,0.05-1.4,1300,20,1436,Humic Nitisol ,7 cm ,,8,14,78,23.00%,%,2.39%,,,,3.37%,5.70-6.90%,5.235,11.86,0.97,,
https://doi.org/10.4314/wajae.v6i1.45620,Roing_2004,Short duration ,21 days-May 2000,2000,2000,,1-3  days to 2 weeks,Nigeria,Ibadan,7.3776,3.9471,Maize-beans,0.1–0.3 ,kg ha−1 yr−1 ,0.1–0.3 ,0,0,0,yes,,,1100,25.3,1676,Vertisol,15 cm,,,,,0.11,,,,1.2,,,,6.6,,1.3,,
https://doi.org/10.1007/s42729-021-00574-1 ,Vilakazi_2021,Seasonal flux (kg N2O-N ha−1 season−1),Dec 2018-July 2019,2018,2019,,Daily,South Africa,Loskop,-32.406,24.716,Maize,0.134-0.268 ,μg ha−1 day−1 ,0.134-0.268 ,0,0,0,yes,,,1700,25.3,1676,Nitisol,15 cm,,,,,0.24,,,,2.3,,,,5.6,,1,,
